"","customer_id","loan_request_id","principle_amount_paid","penalty_paid","bank_electronic_repayments_id","bank_electonic_payment_id","amount","credit_date"
"6265",11539,13857,11668,0,27206,27206,11668,"2017-04-07 00:00:00"
"6266",11548,842,5000,0,602,602,10000,"2016-06-06 00:00:00"
"6267",11548,1043,5000,0,602,602,10000,"2016-06-06 00:00:00"
"6268",11548,1427,10000,0,1217,1217,10000,"2016-07-04 00:00:00"
"6269",11548,1887,10000,0,1447,1447,10000,"2016-07-13 00:00:00"
"6270",11565,816,5000,85,763,763,5085,"2016-06-14 00:00:00"
"6271",11565,1286,5000,85,1339,1339,5085,"2016-07-08 00:00:00"
"6272",11565,1850,4973,85,1841,1841,5058,"2016-08-01 00:00:00"
"6273",11565,1850,27,0,1869,1869,27,"2016-08-01 00:00:00"
"6274",11565,2492,4910,175,2336,2336,5085,"2016-08-22 00:00:00"
"6275",11565,2492,90,0,2348,2348,90,"2016-08-23 00:00:00"
"6276",11565,3128,5000,175,3354,3354,5175,"2016-09-22 00:00:00"
"6277",11565,4631,5000,275,5122,5122,5275,"2016-10-27 00:00:00"
"6278",11565,7132,5000,0,6246,6246,5075,"2016-11-08 00:00:00"
"6279",11565,8204,5000,175,8737,8737,5175,"2016-12-08 00:00:00"
"6280",11565,10927,5000,175,11464,11464,5175,"2017-01-07 00:00:00"
"6281",11565,13805,5000,0,14983,14983,5000,"2017-02-04 00:00:00"
"6282",11565,17555,5000,175,20169,20169,5175,"2017-03-07 00:00:00"
"6283",11565,22748,5000,175,26863,26863,5175,"2017-04-06 00:00:00"
"6284",11565,28281,10000,0,36403,36403,10000,"2017-05-12 00:00:00"
"6285",11565,35447,10000,0,47899,47899,10000,"2017-06-19 00:00:00"
"6286",11565,44516,10000,0,60396,60396,10000,"2017-07-21 00:00:00"
"6287",11565,53047,10000,0,81114,81114,10000,"2017-08-25 00:00:00"
"6288",11565,62515,10000,400,103757,103757,10400,"2017-10-06 00:00:00"
"6289",11565,75449,10000,0,121270,121270,10000,"2017-11-07 00:00:00"
"6290",11565,85875,10000,0,139904,139904,10000,"2017-12-06 00:00:00"
"6291",11565,96880,10000,0,166585,166585,10000,"2018-01-11 00:00:00"
"6292",11565,114866,5000,0,198726,198726,5000,"2018-02-19 00:00:00"
"6293",11565,133008,5000,0,231119,231119,5000,"2018-03-23 00:00:00"
"6294",11588,781,5000,0,448,448,5000,"2016-05-31 00:00:00"
"6295",11597,4614,10000,1150,6812,6812,11150,"2016-11-16 00:00:00"
"6296",11597,12571,10000,1000,17953,17953,11000,"2017-02-28 00:00:00"
"6297",11597,45652,10000,0,60928,60928,10000,"2017-07-24 00:00:00"
"6298",11598,876,15000,0,582,582,15000,"2016-06-04 00:00:00"
"6299",11598,1094,5000,0,785,785,15000,"2016-06-15 00:00:00"
"6300",11598,1095,10000,0,785,785,15000,"2016-06-15 00:00:00"
"6301",11598,1305,15000,0,1037,1037,15000,"2016-06-30 00:00:00"
"6302",11598,1650,15000,0,1449,1449,15000,"2016-07-14 00:00:00"
"6303",11611,15396,30000,2000,26780,26780,32000,"2017-04-06 00:00:00"
"6304",11612,953,15000,0,828,828,15000,"2016-06-16 00:00:00"
"6305",11612,1352,15000,0,1138,1138,15000,"2016-07-01 00:00:00"
"6306",11612,1698,15000,0,1523,1523,15000,"2016-07-18 00:00:00"
"6307",11612,2122,15000,525,2262,2262,15525,"2016-08-17 00:00:00"
"6308",11612,2957,15000,0,2459,2459,15000,"2016-08-29 00:00:00"
"6309",11612,3326,15000,0,3080,3080,15000,"2016-09-14 00:00:00"
"6310",11612,4110,15000,0,3596,3596,15000,"2016-09-29 00:00:00"
"6311",11612,5318,15000,0,4638,4638,15000,"2016-10-17 00:00:00"
"6312",11612,6335,15000,0,5729,5729,15000,"2016-11-02 00:00:00"
"6313",11612,7604,15000,0,6558,6558,15000,"2016-11-13 00:00:00"
"6314",11612,8862,11666,0,9079,9079,11666,"2016-12-14 00:00:00"
"6315",11612,8862,11666,0,12090,12090,11666,"2017-01-13 00:00:00"
"6316",11612,8862,11668,0,15674,15674,11668,"2017-02-09 00:00:00"
"6317",11612,59780,13333,0,91545,91545,13333,"2017-09-13 00:00:00"
"6318",11612,59780,13333,0,107071,107071,13333,"2017-10-13 00:00:00"
"6319",11612,59780,13334,0,123337,123337,13334,"2017-11-10 00:00:00"
"6320",11612,91074,13333,0,150053,150053,13333,"2017-12-22 00:00:00"
"6321",11612,91074,13333,0,172195,172195,13333,"2018-01-20 00:00:00"
"6322",11612,91074,13334,0,198220,198220,13334,"2018-02-19 00:00:00"
"6323",11638,782,15000,0,654,654,15000,"2016-06-08 00:00:00"
"6324",11638,1342,15000,0,1145,1145,15000,"2016-07-01 00:00:00"
"6325",11638,1878,15000,0,1678,1678,15000,"2016-07-26 00:00:00"
"6326",11638,2576,15000,525,2534,2534,15525,"2016-08-31 00:00:00"
"6327",11638,3618,15000,525,4107,4107,15525,"2016-10-04 00:00:00"
"6328",11638,5649,15000,525,6302,6302,15525,"2016-11-08 00:00:00"
"6329",11638,8297,11666,0,8831,8831,11666,"2016-12-09 00:00:00"
"6330",11638,8297,11666,0,11484,11484,11666,"2017-01-07 00:00:00"
"6331",11638,8297,11668,0,12490,12490,11668,"2017-01-18 00:00:00"
"6332",11638,15100,11666,0,16696,16696,11666,"2017-02-18 00:00:00"
"6333",11638,15100,11667,0,22553,22553,11667,"2017-03-21 00:00:00"
"6334",11638,15100,11667,0,27611,27611,11668,"2017-04-10 00:00:00"
"6335",11638,28900,11667,0,37424,37424,11667,"2017-05-16 00:00:00"
"6336",11638,28900,11666,0,46997,46997,11666,"2017-06-15 00:00:00"
"6337",11638,28900,11666,0,49015,49015,11666,"2017-06-23 00:00:00"
"6338",11638,28900,1,0,49081,49081,10,"2017-06-23 00:00:00"
"6339",11638,45551,15000,600,75464,75464,15600,"2017-08-08 00:00:00"
"6340",11638,45551,0,300,75536,75536,300,"2017-08-08 00:00:00"
"6341",11638,45551,15000,0,80647,80647,15000,"2017-08-23 00:00:00"
"6342",11638,45551,15000,0,87348,87348,15000,"2017-09-04 00:00:00"
"6343",11638,66016,15000,600,108423,108423,15600,"2017-10-16 00:00:00"
"6344",11638,66016,30000,1200,134099,134099,31200,"2017-11-30 00:00:00"
"6345",11638,93781,7927,0,162233,162233,7927,"2018-01-05 00:00:00"
"6346",11638,93781,7927,635,200515,200515,8562,"2018-02-21 12:33:57"
"6347",11638,93781,7927,317,222752,222752,8244,"2018-03-13 18:20:54"
"6348",11647,1444,10000,0,1220,1220,10000,"2016-07-04 00:00:00"
"6349",11647,1768,15000,0,1533,1533,15000,"2016-07-18 00:00:00"
"6350",11647,2161,15000,525,2117,2117,15525,"2016-08-10 00:00:00"
"6351",11647,2775,15000,525,2965,2965,15525,"2016-09-09 00:00:00"
"6352",11647,3868,15000,0,3262,3262,15000,"2016-09-19 00:00:00"
"6353",11647,4440,15000,525,4451,4451,15525,"2016-10-13 00:00:00"
"6354",11647,5955,14475,525,5351,5351,15000,"2016-10-29 00:00:00"
"6355",11647,5955,525,0,5468,5468,525,"2016-10-31 00:00:00"
"6356",11647,7507,5000,175,7772,7772,5175,"2016-11-30 00:00:00"
"6357",11647,7846,10000,350,8120,8120,10350,"2016-12-02 00:00:00"
"6358",11647,10504,5000,0,9361,9361,15000,"2016-12-19 00:00:00"
"6359",11647,10523,10000,0,9361,9361,15000,"2016-12-19 00:00:00"
"6360",11647,11826,14700,1425,14622,14622,16125,"2017-02-03 00:00:00"
"6361",11647,11826,300,0,14981,14981,300,"2017-02-04 00:00:00"
"6362",11650,1200,15000,510,1839,1839,15510,"2016-08-01 00:00:00"
"6363",11650,2722,15000,5325,10000,10000,20350,"2016-12-28 00:00:00"
"6364",11650,42632,11666,0,52034,52034,11666,"2017-07-01 00:00:00"
"6365",11650,42632,11666,0,76182,76182,11666,"2017-08-10 00:00:00"
"6366",11650,42632,11668,0,87705,87705,11668,"2017-09-05 00:00:00"
"6367",11718,1339,5000,0,997,997,5000,"2016-06-28 00:00:00"
"6368",11718,1633,10000,0,1367,1367,10000,"2016-07-11 00:00:00"
"6369",11718,1634,10000,0,1407,1407,10000,"2016-07-12 00:00:00"
"6370",11718,1957,5000,0,1646,1646,5000,"2016-07-25 00:00:00"
"6371",11718,1971,5000,0,1831,1831,5000,"2016-08-01 00:00:00"
"6372",11718,2202,5000,0,1953,1953,5000,"2016-08-03 00:00:00"
"6373",11718,2292,5000,0,2090,2090,5000,"2016-08-09 00:00:00"
"6374",11718,2364,5000,0,2310,2310,5000,"2016-08-20 00:00:00"
"6375",11718,2528,5000,0,2136,2136,5000,"2016-08-10 00:00:00"
"6376",11718,2597,5000,0,2137,2137,5000,"2016-08-10 00:00:00"
"6377",11718,3043,5000,0,2567,2567,5000,"2016-08-31 00:00:00"
"6378",11718,3275,10000,0,3065,3065,10000,"2016-09-12 00:00:00"
"6379",11718,3404,5000,0,3114,3114,5000,"2016-09-14 00:00:00"
"6380",11718,3529,5000,0,3192,3192,5000,"2016-09-16 00:00:00"
"6381",11718,4261,5000,0,3712,3712,5000,"2016-09-30 00:00:00"
"6382",11718,4741,4825,175,4581,4581,5000,"2016-10-14 00:00:00"
"6383",11718,4741,175,0,4612,4612,175,"2016-10-15 00:00:00"
"6384",11718,5003,5000,175,4614,4614,5175,"2016-10-15 00:00:00"
"6385",11718,5037,5000,0,4621,4621,5000,"2016-10-15 00:00:00"
"6386",11718,5486,5000,175,5861,5861,5175,"2016-11-02 00:00:00"
"6387",11718,6153,5000,175,6515,6515,10350,"2016-11-12 00:00:00"
"6388",11718,6183,4825,350,6515,6515,10350,"2016-11-12 00:00:00"
"6389",11718,6183,5175,0,6520,6520,5175,"2016-11-12 00:00:00"
"6390",11718,8596,11666,0,8928,8928,11666,"2016-12-12 00:00:00"
"6391",11718,8596,11668,0,11635,11635,11668,"2017-01-09 00:00:00"
"6392",11718,8596,11666,0,11636,11636,11666,"2017-01-09 00:00:00"
"6393",11718,13976,16666,0,15518,15518,16666,"2017-02-08 00:00:00"
"6394",11718,13976,16666,0,20515,20515,16666,"2017-03-08 00:00:00"
"6395",11718,13976,16668,0,20905,20905,16668,"2017-03-10 00:00:00"
"6396",11718,23474,18333,0,27421,27421,18333,"2017-04-10 00:00:00"
"6397",11718,23474,18333,0,35441,35441,18333,"2017-05-09 00:00:00"
"6398",11718,23474,18334,0,35454,35454,18334,"2017-05-09 00:00:00"
"6399",11718,34531,18333,0,46688,46688,18333,"2017-06-14 00:00:00"
"6400",11718,34531,18333,0,55625,55625,18333,"2017-07-07 00:00:00"
"6401",11718,34531,18334,0,60133,60133,18334,"2017-07-20 00:00:00"
"6402",11718,53199,21666,0,79451,79451,21666,"2017-08-19 00:00:00"
"6403",11718,53199,21666,0,94518,94518,21666,"2017-09-20 00:00:00"
"6404",11718,53199,21668,0,101454,101454,21668,"2017-10-03 00:00:00"
"6405",11718,74174,21666,0,121803,121803,21666,"2017-11-08 00:00:00"
"6406",11718,74174,21666,0,141467,141467,21666,"2017-12-08 00:00:00"
"6407",11718,74174,21668,0,141487,141487,21668,"2017-12-08 00:00:00"
"6408",11718,97823,23333,933,170862,170862,24266,"2018-01-18 00:00:00"
"6409",11718,97823,23333,0,190060,190060,23333,"2018-02-08 00:00:00"
"6410",11718,97823,23334,0,192627,192627,23334,"2018-02-12 00:00:00"
"6411",11718,130514,23333,0,226319,226319,23333,"2018-03-17 00:00:00"
"6412",11731,802,10000,0,652,652,10000,"2016-06-08 00:00:00"
"6413",11731,1426,19660,340,1297,1297,20000,"2016-07-06 00:00:00"
"6414",11731,1426,340,0,1303,1303,340,"2016-07-06 00:00:00"
"6415",11731,2247,10000,0,2043,2043,10000,"2016-08-06 00:00:00"
"6416",11731,2247,5000,525,2276,2276,5525,"2016-08-18 00:00:00"
"6417",11731,4412,5000,175,4207,4207,5175,"2016-10-06 00:00:00"
"6418",11731,5930,5000,0,4718,4718,5000,"2016-10-18 00:00:00"
"6419",11731,6432,20000,700,6675,6675,20700,"2016-11-15 00:00:00"
"6420",11731,9010,20000,0,8936,8936,20000,"2016-12-12 00:00:00"
"6421",11731,11640,15000,0,11947,11947,15000,"2017-01-12 00:00:00"
"6422",11731,14478,10000,0,15806,15806,10000,"2017-02-10 00:00:00"
"6423",11731,14478,10000,0,20837,20837,10000,"2017-03-10 00:00:00"
"6424",11731,14478,10000,0,27945,27945,10000,"2017-04-11 00:00:00"
"6425",11731,29445,13333,0,36595,36595,13333,"2017-05-15 00:00:00"
"6426",11731,29445,13333,0,45409,45409,13333,"2017-06-09 00:00:00"
"6427",11731,29445,13334,0,55995,55995,13334,"2017-07-10 00:00:00"
"6428",11735,811,5000,85,789,789,10170,"2016-06-15 00:00:00"
"6429",11735,812,5000,85,789,789,10170,"2016-06-15 00:00:00"
"6430",11735,1523,5000,0,1219,1219,5000,"2016-07-04 00:00:00"
"6431",11735,1732,5000,170,1809,1809,5170,"2016-07-30 00:00:00"
"6432",11735,1769,5000,170,1993,1993,5200,"2016-08-04 00:00:00"
"6433",11735,13511,10000,0,15906,15906,10000,"2017-02-12 00:00:00"
"6434",11735,13511,20000,0,16611,16611,20000,"2017-02-17 00:00:00"
"6435",11735,21975,60,0,28684,28684,60,"2017-04-14 00:00:00"
"6436",11735,21975,29544,400,28685,28685,29944,"2017-04-14 00:00:00"
"6437",11735,21975,396,0,42286,42286,396,"2017-06-02 00:00:00"
"6438",11735,40581,15000,0,44777,44777,15000,"2017-06-08 00:00:00"
"6439",11735,49998,5000,0,65984,65984,10000,"2017-08-01 00:00:00"
"6440",11735,53272,5000,0,65984,65984,10000,"2017-08-01 00:00:00"
"6441",11735,57838,1500,0,74282,74282,1500,"2017-08-07 00:00:00"
"6442",11735,57838,2500,0,78840,78840,2500,"2017-08-18 00:00:00"
"6443",11735,57838,1000,0,83547,83547,11000,"2017-08-31 00:00:00"
"6444",11735,60787,5000,0,83547,83547,11000,"2017-08-31 00:00:00"
"6445",11735,61832,5000,0,83547,83547,11000,"2017-08-31 00:00:00"
"6446",11735,64989,5000,0,100021,100021,5000,"2017-10-03 00:00:00"
"6447",11735,64989,5000,0,115371,115371,5000,"2017-10-31 00:00:00"
"6448",11735,110157,3500,0,161361,161361,3500,"2018-01-05 00:00:00"
"6449",11735,110157,1500,0,163334,163334,4000,"2018-01-08 00:00:00"
"6450",11735,111583,2500,0,163334,163334,4000,"2018-01-08 00:00:00"
"6451",11735,111583,2500,0,185182,185182,7500,"2018-02-03 00:00:00"
"6452",11735,116991,5000,0,185182,185182,7500,"2018-02-03 00:00:00"
"6453",11735,125644,10000,0,206235,206235,10000,"2018-02-28 00:00:00"
"6454",11735,137771,20000,0,233698,233698,20000,"2018-03-27 00:00:00"
"6455",11741,957,10000,170,833,833,10200,"2016-06-17 00:00:00"
"6456",11741,1413,5000,170,1742,1742,5300,"2016-07-28 00:00:00"
"6457",11741,1469,0,130,1742,1742,5300,"2016-07-28 00:00:00"
"6458",11741,1469,5000,40,1779,1779,5040,"2016-07-29 00:00:00"
"6459",11741,10830,16666,333,12616,12616,16999,"2017-01-20 00:00:00"
"6460",11741,10830,8333,0,12685,12685,8333,"2017-01-21 00:00:00"
"6461",11741,10830,1,0,12689,12689,100,"2017-01-21 00:00:00"
"6462",11741,15364,8000,0,16999,16999,8000,"2017-02-21 00:00:00"
"6463",11741,15364,21920,80,19132,19132,22000,"2017-03-01 00:00:00"
"6464",11741,15364,80,0,19133,19133,100,"2017-03-01 00:00:00"
"6465",11741,21815,30000,400,29007,29007,30400,"2017-04-15 00:00:00"
"6466",11741,29729,200,0,42364,42364,200,"2017-06-02 00:00:00"
"6467",11741,29729,9800,600,42382,42382,10400,"2017-06-02 00:00:00"
"6468",11741,29729,20000,0,44602,44602,20000,"2017-06-07 00:00:00"
"6469",11741,42158,30000,0,54690,54690,30000,"2017-07-05 00:00:00"
"6470",11741,49230,30000,0,60011,60011,30000,"2017-07-20 00:00:00"
"6471",11741,53263,30000,0,62296,62296,30000,"2017-07-27 00:00:00"
"6472",11741,54540,8000,0,129622,129622,8000,"2017-11-23 00:00:00"
"6473",11741,54540,3000,2640,134626,134626,5640,"2017-11-30 00:00:00"
"6474",11741,54540,13820,2180,144347,144347,16000,"2017-12-12 00:00:00"
"6475",11741,54540,5180,1712,155887,155887,6892,"2017-12-30 00:00:00"
"6476",11838,1533,10000,0,1344,1344,10000,"2016-07-08 00:00:00"
"6477",11838,1851,10000,0,1639,1639,10000,"2016-07-25 00:00:00"
"6478",11838,2611,10000,350,2623,2623,10350,"2016-09-01 00:00:00"
"6479",11838,3445,5000,175,3840,3840,10350,"2016-10-01 00:00:00"
"6480",11838,3446,5000,175,3840,3840,10350,"2016-10-01 00:00:00"
"6481",11838,5190,10000,350,5697,5697,10350,"2016-11-01 00:00:00"
"6482",11838,7586,9650,350,8018,8018,10000,"2016-12-01 00:00:00"
"6483",11838,7586,350,0,8141,8141,350,"2016-12-02 00:00:00"
"6484",11838,10319,9450,550,10802,10802,10000,"2017-01-02 00:00:00"
"6485",11838,10319,550,0,10985,10985,550,"2017-01-03 00:00:00"
"6486",11838,13317,10000,0,14246,14246,10000,"2017-02-01 00:00:00"
"6487",11838,16270,5000,0,19052,19052,15000,"2017-03-02 00:00:00"
"6488",11838,16884,10000,0,19052,19052,15000,"2017-03-02 00:00:00"
"6489",11838,21786,14700,825,25321,25321,15525,"2017-04-03 00:00:00"
"6490",11838,21786,300,0,25580,25580,300,"2017-04-03 00:00:00"
"6491",11838,27510,20000,0,33777,33777,20000,"2017-05-03 00:00:00"
"6492",11838,33987,20000,0,43902,43902,20000,"2017-06-06 00:00:00"
"6493",11838,41155,20000,0,54964,54964,20000,"2017-07-06 00:00:00"
"6494",11838,49193,20000,0,74207,74207,20000,"2017-08-05 00:00:00"
"6495",11838,57851,20000,0,88060,88060,20000,"2017-09-05 00:00:00"
"6496",11838,66442,20000,0,102964,102964,20000,"2017-10-05 00:00:00"
"6497",11838,74982,20000,0,119019,119019,20000,"2017-11-03 00:00:00"
"6498",11838,84518,10000,0,138163,138163,10000,"2017-12-04 00:00:00"
"6499",11838,84518,10000,0,157378,157378,10000,"2018-01-01 00:00:00"
"6500",11838,110775,15000,0,186947,186947,15000,"2018-02-05 00:00:00"
"6501",11838,126110,15000,0,215444,215444,15000,"2018-03-06 00:00:00"
"6502",11838,141353,6666,0,246110,246110,6666,"2018-04-04 21:15:03"
"6503",11856,849,10000,340,928,928,10340,"2016-06-23 00:00:00"
"6504",11856,1545,10000,340,1599,1599,10340,"2016-07-21 00:00:00"
"6505",11856,2237,10000,350,2294,2294,10350,"2016-08-19 00:00:00"
"6506",11856,3040,9800,550,3232,3232,10350,"2016-09-19 00:00:00"
"6507",11856,3040,200,0,3236,3236,200,"2016-09-19 00:00:00"
"6508",11882,846,5000,0,646,646,5000,"2016-06-08 00:00:00"
"6509",11882,848,5000,0,684,684,5000,"2016-06-09 00:00:00"
"6510",11882,1147,5000,170,1461,1461,5170,"2016-07-14 00:00:00"
"6511",11882,1213,5000,170,1691,1691,5170,"2016-07-26 00:00:00"
"6512",11882,12880,11333,0,14476,14476,11333,"2017-02-02 00:00:00"
"6513",11882,12880,2000,0,14559,14559,2000,"2017-02-02 00:00:00"
